probe,run,k,score,is_jump
fr_L14,fr_s1_ar_d3_fam09_rf,13,1.164,False
fr_L14,fr_s1_ar_d3_fam09_rf,14,1.222,False
fr_L14,fr_s1_ar_d3_fam09_rf,15,1.148,True
fr_L14,fr_s1_ar_d3_fam09_rf,16,1.038,False
fr_L14,fr_s1_ar_d3_fam09_rf,17,1.107,False
fr_L14,fr_s1_ar_d3_fam09_rf,18,1.17,False
fr_L14,fr_s1_ar_d3_fam09_rf,19,1.129,False
fr_L14,fr_s1_ar_d3_fam09_rf,20,0.992,False
fr_L14,fr_s1_ar_d3_fam10_fr,1,0.957,False
fr_L14,fr_s1_ar_d3_fam10_fr,2,0.878,False
fr_L14,fr_s1_ar_d3_fam10_fr,3,1.026,False
fr_L14,fr_s1_ar_d3_fam10_fr,4,0.837,False
fr_L14,fr_s1_ar_d3_fam10_fr,5,0.887,False
fr_L14,fr_s1_ar_d3_fam10_fr,6,0.849,False
fr_L14,fr_s1_ar_d3_fam10_fr,7,0.751,False
fr_L14,fr_s1_ar_d3_fam10_fr,8,0.753,False
fr_L14,fr_s1_ar_d3_fam10_fr,9,0.805,False
fr_L14,fr_s1_ar_d3_fam10_fr,10,0.834,False
fr_L14,fr_s1_ar_d3_fam10_fr,11,0.877,False
fr_L14,fr_s1_ar_d3_fam10_fr,12,0.823,False
fr_L14,fr_s1_ar_d3_fam10_fr,13,0.783,False
fr_L14,fr_s1_ar_d3_fam10_fr,14,0.831,False
fr_L14,fr_s1_ar_d3_fam10_fr,15,0.964,True
fr_L14,fr_s1_ar_d3_fam10_fr,16,0.876,False
fr_L14,fr_s1_ar_d3_fam10_fr,17,0.848,False
fr_L14,fr_s1_ar_d3_fam10_fr,18,0.828,False
fr_L14,fr_s1_ar_d3_fam10_fr,19,0.829,False
fr_L14,fr_s1_ar_d3_fam10_fr,20,0.902,False
fr_L14,fr_s1_ar_d3_fam10_rf,1,0.958,False
