set	session	probes	has_gen	has_lp	status	cap	pinned_date	reached_final	gen_chars	seconds
fr_s1_th_d3_fam11_fr_beh_k06	session_73dcc47d	1	1	1	ok	2048	2026-08-30	0	9940	125.1
fr_s1_th_d3_fam11_fr_beh_k12	session_34ad301b	1	1	1	ok	2048	2026-08-30	1	3873	52.7
fr_s1_th_d3_fam11_fr_beh_k20	session_5b562bbe	1	1	1	ok	2048	2026-08-30	0	9968	121.4
fr_s1_th_d3_fam11_rf_beh_k02	session_ad9ee039	1	1	1	ok	2048	2026-08-30	0	9057	114.6
fr_s1_th_d3_fam11_rf_beh_k06	session_e336bd5e	1	1	1	ok	2048	2026-08-30	1	1847	34.3
fr_s1_th_d3_fam11_rf_beh_k12	session_77313ca1	1	1	1	ok	2048	2026-08-30	1	2001	36.7
fr_s1_th_d3_fam11_rf_beh_k20	session_c720eb0c	1	1	1	ok	2048	2026-08-30	1	1763	47.5
fr_s1_th_d4_fam00_f_beh_final	session_f2d5442b	1	1	1	ok	2048	2026-08-30	1	3529	96.5
fr_s1_th_d4_fam00_r_beh_final	session_c675e953	1	1	1	ok	2048	2026-08-30	1	3394	82.7
fr_s1_th_d4_fam02_f_beh_final	session_dfda8ea8	1	1	1	ok	2048	2026-08-30	0	9348	215.2
fr_s1_th_d4_fam02_r_beh_final	session_f0b9f5c5	1	1	1	ok	2048	2026-08-30	1	1546	46.0
fr_s1_th_d4_fam04_f_beh_final	session_cc1823c7	1	1	1	ok	2048	2026-08-30	0	9212	172.2
fr_s1_th_d4_fam04_r_beh_final	session_8185e7fa	1	1	1	ok	2048	2026-08-30	1	2008	49.9
fr_s1_th_d4_fam06_f_beh_final	session_f25f78cb	1	1	1	ok	2048	2026-08-30	0	9946	165.9
fr_s1_th_d4_fam06_r_beh_final	session_7b886a4e	1	1	1	ok	2048	2026-08-30	1	1596	57.2
fr_s1_th_d4_fam08_f_beh_final	session_e1185a3e	1	1	1	ok	2048	2026-08-30	0	9930	212.2
fr_s1_th_d4_fam08_r_beh_final	session_56ec17e2	1	1	1	ok	2048	2026-08-30	0	9994	193.5
fr_s1_th_d4_fam10_f_beh_final	session_572af3af	1	1	1	ok	2048	2026-08-30	1	1902	60.1
fr_s1_th_d4_fam10_r_beh_final	session_03f88174	1	1	1	ok	2048	2026-08-30	1	2106	68.2
